brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
31320.0,for_sale,355000.0,3.0,3.0,0.31,459642.0,Fairmont,Minnesota,56031.0,3162.0,2020-12-16
33596.0,for_sale,285000.0,4.0,2.0,0.25,1494072.0,Fairmont,Minnesota,56031.0,3186.0,2005-05-16
33597.0,for_sale,72500.0,2.0,2.0,0.19,92303.0,Jackson,Minnesota,56143.0,2488.0,1994-07-01
15942.0,for_sale,179900.0,3.0,2.0,0.26,1167626.0,Sherburn,Minnesota,56171.0,2878.0,2021-08-20
33597.0,for_sale,155000.0,3.0,2.0,0.18,47973.0,Jackson,Minnesota,56143.0,2124.0,2004-08-13
33597.0,for_sale,65000.0,3.0,1.0,0.46,77185.0,Jackson,Minnesota,56143.0,1182.0,2001-08-15
79388.0,for_sale,139900.0,4.0,2.0,0.23,35242.0,Northrop,Minnesota,56031.0,2476.0,2021-06-25
102144.0,for_sale,110000.0,3.0,1.0,0.19,1163692.0,Winnebago,Minnesota,56098.0,3037.0,2008-09-29
67282.0,for_sale,124900.0,3.0,2.0,0.2,1023492.0,Winnebago,Minnesota,56098.0,2265.0,2015-07-22
45146.0,for_sale,94900.0,4.0,3.0,0.3,941902.0,Winnebago,Minnesota,56098.0,2464.0,2009-05-29
86270.0,for_sale,99000.0,4.0,3.0,0.23,854904.0,Bigelow,Minnesota,56117.0,3936.0,2020-03-24
82460.0,for_sale,79200.0,2.0,1.0,0.03,606184.0,Luverne,Minnesota,56156.0,909.0,2018-03-07
56565.0,for_sale,138000.0,4.0,1.0,0.12,979640.0,Luverne,Minnesota,56156.0,1526.0,2014-12-02
53485.0,for_sale,216000.0,3.0,2.0,0.33,614067.0,Hills,Minnesota,56138.0,1230.0,2015-06-12
53485.0,for_sale,309900.0,5.0,2.0,4.22,1381051.0,Luverne,Minnesota,56156.0,2040.0,2017-09-25
106475.0,for_sale,62000.0,3.0,2.0,0.31,174783.0,Hills,Minnesota,56138.0,1250.0,2011-10-18
81644.0,for_sale,149500.0,2.0,3.0,0.24,107965.0,Ellsworth,Minnesota,56129.0,2196.0,2018-07-12
82460.0,for_sale,109000.0,3.0,2.0,0.15,1581567.0,Luverne,Minnesota,56156.0,1362.0,2021-05-18
82460.0,for_sale,139900.0,5.0,3.0,0.39,1179958.0,Luverne,Minnesota,56156.0,2400.0,2018-08-08
53485.0,for_sale,325000.0,4.0,3.0,0.31,967117.0,Luverne,Minnesota,56156.0,2911.0,2015-10-26
53482.0,for_sale,259900.0,4.0,2.0,0.28,1178118.0,Luverne,Minnesota,56156.0,2860.0,2016-07-29
50563.0,for_sale,189500.0,3.0,1.0,0.16,278680.0,Worthington,Minnesota,56187.0,2088.0,2021-02-26
81644.0,for_sale,345000.0,4.0,3.0,0.22,576314.0,Worthington,Minnesota,56187.0,2450.0,2018-10-15
50563.0,for_sale,229900.0,3.0,2.0,0.18,945288.0,Worthington,Minnesota,56187.0,1700.0,2020-09-25
31320.0,for_sale,189000.0,3.0,2.0,0.17,210571.0,Worthington,Minnesota,56187.0,1887.0,2018-05-15
81644.0,for_sale,359000.0,3.0,4.0,0.22,588006.0,Worthington,Minnesota,56187.0,3216.0,2010-05-25
50563.0,for_sale,429500.0,3.0,2.0,0.21,213823.0,Brewster,Minnesota,56119.0,3392.0,2019-01-21
50563.0,for_sale,139500.0,2.0,1.0,0.11,1799819.0,Worthington,Minnesota,56187.0,1344.0,2020-09-17
81644.0,for_sale,279000.0,3.0,2.0,0.24,1597256.0,Worthington,Minnesota,56187.0,2060.0,2020-05-28
31320.0,for_sale,219900.0,3.0,1.0,0.16,1156310.0,Brewster,Minnesota,56119.0,2576.0,2020-08-24
93981.0,for_sale,120000.0,3.0,3.0,0.12,1161331.0,Lakefield,Minnesota,56150.0,3220.0,2013-07-11
93981.0,for_sale,64900.0,1.0,2.0,0.09,1158725.0,Lakefield,Minnesota,56150.0,1404.0,2020-11-13
81644.0,for_sale,218000.0,3.0,3.0,0.19,1489349.0,Lakefield,Minnesota,56150.0,3680.0,2011-03-11
30505.0,for_sale,119900.0,2.0,1.0,0.21,418315.0,Jackson,Minnesota,56143.0,1816.0,2008-07-31
50563.0,for_sale,169900.0,2.0,1.0,0.17,1685124.0,Worthington,Minnesota,56187.0,1456.0,2020-02-27
81644.0,for_sale,154500.0,3.0,2.0,0.36,1672258.0,Worthington,Minnesota,56187.0,1920.0,2015-09-01
50563.0,for_sale,159900.0,3.0,1.0,0.22,1502560.0,Adrian,Minnesota,56110.0,1302.0,2010-11-18
81644.0,for_sale,259900.0,3.0,3.0,0.25,1161915.0,Worthington,Minnesota,56187.0,1273.0,2018-11-15
50563.0,for_sale,429500.0,3.0,3.0,0.33,455304.0,Worthington,Minnesota,56187.0,2941.0,2018-07-13
82460.0,for_sale,189900.0,3.0,2.0,0.16,123578.0,Worthington,Minnesota,56187.0,1870.0,2014-01-24
30505.0,for_sale,129900.0,3.0,2.0,0.12,105411.0,Jackson,Minnesota,56143.0,2184.0,2001-07-16
109937.0,for_sale,470000.0,2.0,3.0,6.1,1683875.0,Jackson,Minnesota,56143.0,2200.0,2010-05-21
33597.0,for_sale,99500.0,3.0,1.0,0.13,100028.0,Jackson,Minnesota,56143.0,1142.0,2015-07-01
93981.0,for_sale,99000.0,3.0,2.0,0.13,133544.0,Jackson,Minnesota,56143.0,2104.0,2020-10-13
81644.0,for_sale,149000.0,3.0,1.0,0.27,224773.0,Brewster,Minnesota,56119.0,1450.0,2016-02-03
50563.0,for_sale,237500.0,4.0,2.0,0.53,1167704.0,Fulda,Minnesota,56131.0,2664.0,2011-08-04
81644.0,for_sale,419000.0,4.0,4.0,7.52,583314.0,Brewster,Minnesota,56119.0,2800.0,2021-11-22
50563.0,for_sale,219900.0,4.0,2.0,5.14,1627291.0,Lakefield,Minnesota,56150.0,2115.0,2011-12-16
33597.0,for_sale,190000.0,4.0,2.0,0.23,932901.0,Fulda,Minnesota,56131.0,3938.0,2018-04-11
24799.0,for_sale,209900.0,4.0,2.0,0.2,98428.0,Fulda,Minnesota,56131.0,2725.0,2013-07-31
79305.0,for_sale,165000.0,2.0,3.0,0.22,92571.0,Mabel,Minnesota,55954.0,2760.0,2001-07-09
79305.0,for_sale,145000.0,1.0,2.0,0.34,980149.0,Mabel,Minnesota,55954.0,2244.0,2015-10-12
52969.0,for_sale,169900.0,2.0,2.0,0.39,44970.0,Caledonia,Minnesota,55921.0,1768.0,2018-06-14
52969.0,for_sale,159000.0,2.0,1.0,1.6,455822.0,Brownsville,Minnesota,55919.0,2004.0,2018-07-23
52969.0,for_sale,154000.0,2.0,1.0,0.08,704269.0,Caledonia,Minnesota,55921.0,1728.0,2000-10-12
33714.0,for_sale,239900.0,4.0,3.0,0.14,118246.0,Mabel,Minnesota,55954.0,2754.0,2019-05-29
52969.0,for_sale,122000.0,3.0,2.0,0.11,28033.0,Caledonia,Minnesota,55921.0,1596.0,2015-03-16
31589.0,for_sale,425000.0,3.0,3.0,5.38,33202.0,Mabel,Minnesota,55954.0,2912.0,2006-12-15
52969.0,for_sale,198500.0,3.0,2.0,0.22,1599381.0,Caledonia,Minnesota,55921.0,2620.0,2019-06-07
68939.0,for_sale,214900.0,3.0,2.0,0.13,681279.0,Caledonia,Minnesota,55921.0,1984.0,2020-12-10
79305.0,for_sale,390000.0,5.0,3.0,1.0,1096773.0,Harmony,Minnesota,55939.0,3818.0,2013-04-26
62520.0,for_sale,395000.0,3.0,3.0,0.95,184007.0,Preston,Minnesota,55965.0,2432.0,2018-06-29
79305.0,for_sale,194900.0,3.0,2.0,0.18,1244220.0,Harmony,Minnesota,55939.0,2600.0,2005-06-14
79221.0,for_sale,169900.0,2.0,1.0,0.21,929297.0,Preston,Minnesota,55965.0,2176.0,2016-05-27
31337.0,for_sale,100000.0,2.0,1.0,1.79,761349.0,Mabel,Minnesota,55954.0,994.0,2018-01-10
