price,bed,bath,acre_lot,city,house_size
439900.0,3.0,3.0,0.3,Woodbury,2770.0
610000.0,5.0,4.0,0.19,Woodbury,3476.0
249900.0,3.0,2.0,0.33,Oakdale,1814.0
229000.0,3.0,2.0,0.03,Saint Paul,1895.0
295000.0,3.0,2.0,0.14,North Saint Paul,1542.0
624900.0,4.0,3.0,0.17,Lake Elmo,3734.0
691248.0,4.0,4.0,0.7,Stillwater,3074.0
801812.0,3.0,3.0,0.19,Cottage Grove,3728.0
235000.0,3.0,2.0,0.11,Saint Paul,1250.0
335000.0,3.0,4.0,0.04,Woodbury,2160.0
325000.0,4.0,2.0,0.16,West Saint Paul,1465.0
300000.0,3.0,2.0,0.25,White Bear Lake,2576.0
322500.0,3.0,2.0,0.16,Saint Paul,2197.0
424900.0,4.0,2.0,0.34,Mahtomedi,2392.0
699999.0,3.0,3.0,0.17,Stillwater,3518.0
667000.0,4.0,4.0,0.24,Stillwater,4462.0
249900.0,5.0,2.0,0.12,Saint Paul,1738.0
249999.0,3.0,2.0,0.23,West Saint Paul,1543.0
635000.0,3.0,3.0,0.21,Lake Elmo,3708.0
274900.0,5.0,3.0,0.11,Saint Paul,2866.0
357000.0,3.0,2.0,0.27,Newport,1482.0
299900.0,3.0,2.0,0.18,North Saint Paul,1970.0
259000.0,3.0,2.0,0.26,Saint Paul,1198.0
285000.0,3.0,2.0,0.26,Maplewood,1921.0
259000.0,5.0,2.0,0.11,Saint Paul,1584.0
450000.0,5.0,3.0,0.32,Woodbury,3288.0
330000.0,3.0,2.0,0.22,Oakdale,1850.0
459900.0,4.0,4.0,0.14,Bayport,2760.0
449900.0,3.0,3.0,0.29,Stillwater,3052.0
770000.0,5.0,4.0,0.18,Cottage Grove,3906.0
450000.0,3.0,3.0,0.12,Woodbury,3052.0
550000.0,4.0,3.0,0.18,Woodbury,3821.0
199900.0,2.0,1.0,0.25,Bayport,1224.0
239900.0,2.0,2.0,0.05,Maplewood,1595.0
229000.0,2.0,2.0,0.24,Saint Paul,1864.0
650000.0,5.0,4.0,0.2,Woodbury,3643.0
330000.0,3.0,1.0,0.32,Oakdale,2125.0
185000.0,3.0,2.0,0.12,Saint Paul,1380.0
249900.0,3.0,2.0,0.11,Saint Paul,2919.0
340000.0,3.0,2.0,0.11,Saint Paul,2747.0
230000.0,3.0,1.0,0.16,Saint Paul Park,920.0
299900.0,5.0,3.0,0.22,Saint Paul,2112.0
329900.0,3.0,2.0,0.17,Oakdale,1855.0
286000.0,2.0,2.0,0.03,Woodbury,1343.0
355000.0,4.0,2.0,0.23,Oakdale,1800.0
259000.0,3.0,2.0,0.11,Saint Paul,1800.0
380000.0,3.0,2.0,0.24,Woodbury,2160.0
424900.0,4.0,3.0,0.09,Woodbury,3730.0
209900.0,3.0,1.0,0.17,Saint Paul,1647.0
619900.0,2.0,2.0,0.12,Stillwater,1723.0
675000.0,4.0,4.0,0.22,Woodbury,3790.0
325000.0,5.0,2.0,0.25,Maplewood,2274.0
519900.0,4.0,4.0,0.21,Woodbury,3196.0
624900.0,5.0,4.0,0.47,Stillwater,3889.0
400000.0,2.0,2.0,0.35,Marine on Saint Croix,1684.0
260000.0,2.0,2.0,0.11,Woodbury,1464.0
260000.0,3.0,2.0,0.04,Maplewood,1590.0
279000.0,4.0,2.0,0.16,West Saint Paul,1928.0
324000.0,2.0,2.0,0.28,Oakdale,1596.0
324900.0,2.0,2.0,0.06,Woodbury,1442.0
229900.0,3.0,2.0,0.17,North Saint Paul,1082.0
499900.0,5.0,4.0,0.22,Woodbury,4415.0
299900.0,3.0,2.0,0.11,South Saint Paul,1494.0
340000.0,2.0,2.0,0.39,Stillwater,1977.0
275000.0,5.0,1.0,0.21,Saint Paul,2625.0
540000.0,4.0,4.0,0.34,Woodbury,3369.0
320000.0,3.0,3.0,0.17,Saint Paul,2028.0
274900.0,5.0,3.0,0.11,Saint Paul,2146.0
335000.0,4.0,2.0,0.16,South Saint Paul,2304.0
479900.0,4.0,4.0,0.16,Stillwater,2916.0
350000.0,3.0,2.0,0.38,Birchwood Village,2048.0
219900.0,2.0,2.0,0.11,Saint Paul,2382.0
324900.0,5.0,2.0,0.33,Saint Paul,2080.0
325000.0,5.0,3.0,0.3,Maplewood,1872.0
359900.0,4.0,3.0,0.24,Cottage Grove,2200.0
234900.0,4.0,2.0,0.1,Saint Paul,1966.0
204900.0,2.0,1.0,0.22,Saint Paul,1440.0
270000.0,2.0,2.0,0.13,West Saint Paul,1672.0
190000.0,3.0,2.0,0.04,Maplewood,1980.0
330000.0,3.0,3.0,0.04,Woodbury,1882.0
319900.0,3.0,2.0,0.62,Maplewood,2250.0
